Tweets,Subjectivity,Polarity,TextBlob
"['rt', 'lexhaul', 'wts', 'lfb', 'ph', 'help', 'rt', 'please', 'tysm', 'official', 'exo', 'lightstick', 'ver', 'eribong', 'w', 'miniso', 'bare', 'bears', 'panda', 'set']",0.1,0.05,1
"['rt', 'indyloopz', 'need', 'streams', 'hot', 'mv', 'youre', 'got', 'exams', 'idc', 'youre', 'tired', 'sleep', 'youre', 'dead']",0.65,-0.11666666666666668,-1
"['rt', 'lexhaul', 'wts', 'lfb', 'ph', 'help', 'rt', 'please', 'tysm', 'official', 'exo', 'lightstick', 'ver', 'eribong', 'w', 'miniso', 'bare', 'bears', 'panda', 'set']",0.1,0.05,1
"['convomfs', 'danish', 'green', 'miniso']",0.3,-0.2,-1
['bump'],0.0,0.0,0
"['rt', 'kmjshng', 'cheolsoo', 'facts', 'moments', 'keep', 'awake', 'night', 'thread']",0.0,0.0,0
"['rt', 'lexhaul', 'wts', 'lfb', 'ph', 'help', 'rt', 'please', 'tysm', 'official', 'exo', 'lightstick', 'ver', 'eribong', 'w', 'miniso', 'bare', 'bears', 'panda', 'set']",0.1,0.05,1
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['convomfs', 'miniso', 'lost', 'paris']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['rt', 'lexhaul', 'wts', 'lfb', 'ph', 'help', 'rt', 'please', 'tysm', 'official', 'exo', 'lightstick', 'ver', 'eribong', 'w', 'miniso', 'bare', 'bears', 'panda', 'set']",0.1,0.05,1
"['rt', 'lexhaul', 'wts', 'lfb', 'ph', 'help', 'rt', 'please', 'tysm', 'official', 'exo', 'lightstick', 'ver', 'eribong', 'w', 'miniso', 'bare', 'bears', 'panda', 'set']",0.1,0.05,1
"['rt', 'lexhaul', 'wts', 'lfb', 'ph', 'help', 'rt', 'please', 'tysm', 'official', 'exo', 'lightstick', 'ver', 'eribong', 'w', 'miniso', 'bare', 'bears', 'panda', 'set']",0.1,0.05,1
"['wts', 'lfb', 'ph', 'help', 'rt', 'please', 'tysm', 'official', 'exo', 'lightstick', 'ver', 'eribong', 'w', 'miniso', 'bare', 'bears', 'panda', 'set']",0.1,0.05,1
"['rt', 'lexhaul', 'take', 'kasi', 'nakalimutan', 'ko', 'lagyan', 'wm', 'yun', 'nga', 'planning', 'sell', 'eribong', 'ver', 'together', 'w', 'miniso', 'bare', 'bears', 'panda', 'n']",0.1,0.05,1
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['win', 'miniso', 'au', 'toy', 'story', 'collection', 'sleep', 'masklotso', 'fun', 'lotso', 'enter', 'followminiso']",0.30000000000000004,0.55,1
"['look', 'mushroom', 'got', 'miniso']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['miniso', 'basic', 'overpriced', 'stuff', 'pastel', 'coloured', 'thinkaboutit']",0.125,0.0,0
"['rt', 'sugarsanriio', 'hello', 'kitty', 'cooler', 'bag', 'miniso', 'lt']",0.0,0.0,0
"['rt', 'faiqaa_a', 'miniso']",0.0,0.0,0
"['naseem__ahamed', 'theyve', 'stopped', 'importing', 'pringles', 'long', 'time', 'ago', 'available', 'couple', 'shops', 'cmb']",0.4,0.17500000000000002,1
"['flashback', 'weekend', 'witnessed', 'woman', 'berate', 'demand', 'refund', 'miniso', 'cashier']",0.0,0.0,0
"['threebarebears', 'would', 'donate', 'buy', 'giant', 'panpan', 'miniso']",1.0,0.0,0
"['someone', 'give', 'buy', 'giant', 'bare', 'bears', 'plush', 'miniso']",0.55,0.025,1
"['rt', 'softwooyopics', 'smol']",0.0,0.0,0
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['adewuyifm', 'got', 'miniso']",0.0,0.0,0
"['sltsht', 'ruvshtwt', 'smth', 'thats', 'rlly', 'good', 'esp', 'want', 'inconspicuous', 'eyebrow', 'razors', 'handle']",0.6000000000000001,0.7,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['anxiety', 'attack', 'real', 'right', 'ive', 'one', 'hours', 'straight', 'went', 'miniso', 'got', 'two', 'plushes']",0.6017857142857144,0.3142857142857143,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
"['rt', 'amazonmallpk', 'get', 'beautiful', 'handy', 'crossbody', 'bags', 'rs', 'miniso', 'amazon', 'outlet', 'mall', 'amazonoutletmall']",0.95,0.725,1
